1	10	2013-08-16	未通過
1	101	2013-08-28	未通過
1	97	2013-09-05	未通過
1	1	2013-09-07	未通過
1	106	2013-09-09	未通過
1	21	2013-09-12	未通過
1	37	2013-09-17	未通過
1	41	2013-09-21	未通過
1	26	2013-09-23	未通過
1	98	2013-09-25	未通過
1	17	2013-09-28	未通過
1	5	2013-09-28	已通過
4	107	2015-03-27	未通過
4	2	2015-03-27	未通過
4	19	2015-03-27	未通過
4	71	2015-03-28	未通過
4	98	2015-04-01	未通過
4	66	2015-04-07	未通過
4	54	2015-04-17	未通過
4	27	2015-04-22	未通過
4	38	2015-04-22	未通過
4	69	2015-04-22	未通過
4	84	2015-04-25	未通過
4	36	2015-05-02	未通過
4	1	2015-05-05	已通過
6	77	2014-03-18	未通過
6	2	2014-03-19	未通過
6	101	2014-03-21	未通過
6	93	2014-03-26	未通過
6	49	2014-04-02	未通過
6	7	2014-04-09	已通過
8	43	2014-03-23	未通過
8	24	2014-03-25	未通過
8	74	2014-04-12	未通過
8	28	2014-04-19	未通過
8	25	2014-04-19	未通過
8	3	2014-04-19	未通過
8	78	2014-04-21	未通過
8	4	2014-05-03	已通過
3	64	2015-03-27	未通過
3	105	2015-03-27	未通過
3	91	2015-03-27	未通過
3	86	2015-04-06	未通過
3	6	2015-04-26	已通過
10	21	2015-01-19	未通過
10	3	2015-01-22	未通過
10	74	2015-01-30	未通過
10	77	2015-01-30	未通過
10	31	2015-01-31	未通過
10	49	2015-02-02	未通過
10	26	2015-02-10	未通過
10	59	2015-02-10	未通過
10	63	2015-02-10	未通過
10	36	2015-02-10	未通過
10	5	2015-02-12	已通過
5	39	2015-05-12	未通過
5	76	2015-05-21	未通過
5	18	2015-05-31	未通過
5	6	2015-06-02	已通過
2	37	2014-04-16	未通過
2	34	2014-04-18	未通過
2	7	2014-04-20	未通過
2	12	2014-04-23	未通過
2	104	2014-04-26	未通過
2	3	2014-04-29	已通過
7	98	2015-09-23	未通過
7	3	2015-09-23	未通過
7	104	2015-09-23	未通過
7	74	2015-09-24	待洽談
7	1	2015-09-25	待洽談
7	33	2015-09-25	待洽談
7	48	2015-09-27	待洽談
