9	11503	2013-12-02	未通過
9	14501	2013-12-07	未通過
9	14577	2013-12-16	未通過
9	44681	2013-12-20	未通過
9	54504	2013-12-25	未通過
9	64658	2013-12-25	未通過
12	64651	2015-01-05	未通過
12	94749	2015-01-10	未通過
12	114662	2015-01-15	未通過
12	124755	2015-01-17	未通過
12	134764	2015-01-20	未通過
12	164602	2015-01-20	未通過
12	44502	2015-01-20	已通過
5	724607	2015-05-28	未通過
5	603603	2015-06-05	未通過
5	423502	2015-06-16	未通過
5	154689	2015-06-17	已通過
6	533609	2015-05-09	未通過
6	144671	2015-05-10	已通過
8	553614	2014-11-18	未通過
8	593502	2014-11-20	未通過
8	114615	2014-11-21	未通過
8	114502	2014-12-10	未通過
8	104617	2014-12-10	未通過
8	94736	2014-12-15	未通過
8	94611	2014-12-15	未通過
8	114619	2014-12-15	已通過
3	94664	2015-05-01	已通過
11	84619	2013-11-15	未通過
11	84683	2013-11-20	未通過
11	84747	2013-12-01	未通過
11	94636	2013-12-04	未通過
11	154707	2013-12-06	未通過
4	173608	2014-08-01	未通過
4	183619	2014-08-04	未通過
4	193624	2014-08-08	未通過
4	203609	2014-08-15	未通過
4	213620	2014-08-15	未通過
4	313601	2014-08-15	未通過
4	323606	2014-08-20	未通過
4	343603	2014-08-21	未通過
4	94744	2014-08-21	已通過
7	383619	2013-08-04	未通過
7	413612	2013-08-05	未通過
7	423615	2013-08-07	未通過
7	543605	2013-08-11	未通過
7	613503	2013-08-19	未通過
7	724606	2013-08-19	未通過
7	14728	2013-08-22	未通過
7	14670	2013-08-22	未通過
7	213515	2013-08-23	未通過
7	313606	2013-08-27	未通過
7	353602	2013-08-27	未通過
7	24510	2013-09-01	已通過
10	383612	2013-11-11	未通過
10	403604	2013-11-12	未通過
10	383507	2013-11-15	未通過
10	14573	2013-11-19	未通過
10	14664	2013-11-28	未通過
10	14719	2013-12-01	未通過
10	14808	2013-12-02	未通過
10	24643	2013-12-05	未通過
10	34510	2013-12-05	未通過
10	34545	2013-12-06	未通過
10	34626	2013-12-08	未通過
10	134656	2013-12-09	已通過
